Study,Model,Log Loss,Brier Score,Winner Acc
Baseline,Recency Only (0.8513),0.8513152849495489,0.1668871147564354,0.6069364161849711
1. Tournament Weighting,Recency + Tournament Multipliers,0.8518091705287073,0.16702094424352368,0.6048720066061106
2. Optuna Tuning,Bayesian Hyperparams (Recency),0.8491704946932374,0.16645070727977676,0.6056977704376548
