Tournament,Static_LogLoss,Online_LogLoss,Static_Brier,Online_Brier,Static_WinAcc,Online_WinAcc,Static_ExactAcc,Online_ExactAcc
2018,0.9479837617390255,1.264883381315229,0.1871367201251722,0.25579150086451746,0.5625,0.359375,0.15625,0.09375
2022,1.005430151199763,1.3595183078154527,0.19702961436332686,0.27856809758801937,0.5625,0.28125,0.078125,0.078125
