Architecture,Exact Score Acc,Winner Acc,Brier Score,Log Loss,RPS
1. Baseline Poisson,0.14530685920577618,0.5943140794223827,0.5065721948326082,0.8648515361558022,0.16695807679890987
2. Att/Def Elo,0.15027075812274368,0.5974729241877257,0.5044632714631647,0.8608193059809127,0.16588282557120723
3. Market-Odds,0.14485559566787004,0.6015342960288809,0.5055126269626958,0.8627302183357373,0.1664096005762629
4. Hierarchical,0.14756317689530685,0.6015342960288809,0.5055711135520051,0.8626449835849413,0.1664549774282433
5. Mixture-of-Poissons,0.14385379061371842,0.5943140794223827,0.5116379167809343,0.8821485668789183,0.16862765756689896
