Method,Log Loss,Brier Score
Baseline (Poisson),0.8671415465090431,0.1700350666499648
Platt Scaling,0.8700131443600754,0.17073639653575376
Isotonic Regression,0.9782720936047204,0.17035856820447007
Temperature Scaling (T=0.92),0.8710475996075758,0.1708069207723992
