,H_MAE,H_RMSE,A_MAE,A_RMSE,Winner_Acc,Draw_Acc,Overall_Acc,Exact_Score_Acc,GD_Acc,Top_3_Acc,Time_s
Poisson Regression,1.0486645456786,1.38148265350003,0.9937042188247152,1.3229399242676059,0.4445646295294754,0.6596858638743456,0.495458298926507,0.10900082576383155,0.2634186622625929,0.3261767134599505,7.50375509262085
Random Forest,1.0860900082576384,1.4093192393544245,0.8836705202312138,1.1469156030394994,0.6825310978907517,0.28097731239092494,0.5875309661436829,0.09620148637489678,0.24731626754748143,0.33815028901734107,16.31070899963379
XGBoost,1.0291638816749134,1.340408346841273,0.861776050007929,1.1450274056899707,0.6376419686316928,0.387434554973822,0.578447563996697,0.10156895127993394,0.2481420313790256,0.35301403798513625,7.785582780838013
LightGBM,1.0284777110883792,1.3383854053752091,0.8585881649018109,1.141464295751694,0.6295294753921038,0.38917975567190227,0.5726672171758876,0.10239471511147812,0.24938067712634188,0.3542526837324525,8.431922912597656
