match_id,date,home_team,away_team,home_elo_pre,away_elo_pre,elo_diff,home_fifa_rank,away_fifa_rank,rank_diff,home_fifa_points,away_fifa_points,home_goals_scored_avg_L5,home_goals_conceded_avg_L5,home_avg_opponent_elo_last_5,home_avg_opponent_fifa_rank_last_5,home_weighted_goal_diff_last_5,away_goals_scored_avg_L5,away_goals_conceded_avg_L5,away_avg_opponent_elo_last_5,away_avg_opponent_fifa_rank_last_5,away_weighted_goal_diff_last_5,home_win_rate_L10,home_goal_diff_avg_L10,home_avg_opponent_elo_last_10,home_avg_opponent_fifa_rank_last_10,home_weighted_goal_diff_last_10,away_win_rate_L10,away_goal_diff_avg_L10,away_avg_opponent_elo_last_10,away_avg_opponent_fifa_rank_last_10,away_weighted_goal_diff_last_10,h2h_avg_goals_home,h2h_avg_goals_away,neutral,tournament
16,2026-06-15,Belgium,Egypt,1849.0,1591.0,258.0,8,33,-25,1740.62,1513.48,3.6,1.2,1526.2,75.6,1.9985333333333333,1.0,0.2,1799.0,31.4,0.8569333333333333,0.6,2.5,1483.6,85.5,2.0734666666666666,0.6,0.9,1648.7,56.0,0.9192666666666668,1.0,1.75,1,FIFA World Cup
20,2026-06-16,Austria,Jordan,1818.0,1687.0,131.0,22,64,-42,1589.84,1375.91,1.8,0.6,1565.0,68.4,1.1722666666666666,1.6,2.2,1719.8,38.2,-0.7878666666666666,0.8,2.3,1400.3,100.4,1.6716000000000002,0.5,0.3,1631.5,52.8,0.21486666666666662,0.0,0.0,1,FIFA World Cup
19,2026-06-16,Argentina,Algeria,2113.0,1726.0,387.0,1,37,-36,1867.25,1495.85,3.2,0.2,1419.2,97.0,2.6390666666666664,2.2,0.6,1619.6,62.8,1.5909333333333333,0.8,2.1,1655.4,62.3,2.0735333333333337,0.7,1.8,1557.4,69.3,1.7679333333333331,4.0,3.0,1,FIFA World Cup
17,2026-06-16,France,Senegal,2062.0,1803.0,259.0,2,17,-15,1859.78,1637.25,2.8,1.0,1735.8,45.8,2.1068,1.6,1.4,1658.0,25.75,0.07973333333333325,0.8,1.6,1751.7,45.4,1.7868000000000002,0.7,1.0,1562.5,62.0,0.8785999999999999,0.0,1.5,1,FIFA World Cup
18,2026-06-16,Iraq,Norway,1582.0,1922.0,-340.0,56,43,13,1442.86,1484.44,1.0,0.8,1492.0,92.8,0.06133333333333337,2.0,1.0,1748.6,49.6,1.0584,0.6,0.4,1492.7,85.5,0.3198666666666667,0.7,2.5,1692.0,67.6,1.838888888888889,0.0,0.0,1,FIFA World Cup
21,2026-06-17,Ghana,Panama,1509.0,1742.0,-233.0,77,36,41,1320.52,1504.39,0.4,2.4,1842.0,17.8,-2.4482666666666666,1.2,2.0,1710.2,43.4,-1.0959999999999999,0.4,0.1,1595.4,65.6,-0.24326666666666666,0.4,0.1,1563.7,73.1,-0.09186666666666668,0.0,0.0,1,FIFA World Cup
22,2026-06-17,England,Croatia,2042.0,1933.0,109.0,4,13,-9,1813.81,1691.59,2.0,0.4,1700.0,52.6,1.5294666666666665,2.4,1.4,1558.4,84.8,0.694,0.7,1.7,1594.6,68.3,1.6868666666666665,0.8,2.1,1511.3,91.5,1.7924000000000002,2.0,1.1818181818181819,1,FIFA World Cup
23,2026-06-17,Portugal,Congo DR,1976.0,1616.0,360.0,6,61,-55,1756.12,1395.77,2.6,1.0,1672.25,45.0,2.465,1.4,0.4,1499.2,83.6,0.8,0.6,1.6,1745.5,42.8,2.14875,0.7,0.9,1482.9,83.7,0.7832666666666667,0.0,0.0,1,FIFA World Cup
24,2026-06-17,Uzbekistan,Colombia,1735.0,1998.0,-263.0,58,12,46,1424.93,1694.44,1.4,0.6,1600.8,54.4,0.8352,1.4,1.2,1830.8,32.2,0.11373333333333324,0.4,0.8,1604.3,54.6,0.7666666666666666,0.5,1.1,1832.3,34.7,1.2285999999999997,0.0,0.0,1,FIFA World Cup
25,2026-06-18,Czechia,South Africa,1731.0,1531.0,200.0,42,57,-15,1484.88,1428.87,2.6,1.0,1367.5,117.4,1.4768333333333334,1.2,1.4,1544.6,75.0,-0.2598666666666667,0.4,0.5,1517.6666666666667,88.2,0.22051851851851847,0.4,0.4,1509.9,82.5,0.3396666666666667,2.0,2.0,1,FIFA World Cup
26,2026-06-18,Switzerland,Bosnia and Herzegovina,1897.0,1571.0,326.0,20,74,-54,1625.16,1326.69,2.4,1.4,1798.6,48.6,1.1241333333333334,1.2,0.8,1726.8,33.0,0.44000000000000006,0.6,1.8,1747.9,49.5,2.006333333333333,0.3,0.9,1565.7,75.1,0.5695333333333334,0.0,2.0,1,FIFA World Cup
27,2026-06-18,Canada,Qatar,1802.0,1427.0,375.0,31,48,-17,1515.96,1474.6,0.8,0.4,1767.4,41.0,0.4573333333333333,0.4,1.6,1478.75,85.8,-1.2943333333333333,0.4,0.7,1690.3,48.6,0.7455999999999999,0.1,-0.8,1502.4444444444443,79.9,-0.859777777777778,2.0,0.0,1,FIFA World Cup
28,2026-06-18,Mexico,Korea Republic,1835.0,1784.0,51.0,19,23,-4,1627.4,1585.45,1.6,0.2,1734.8,37.4,1.4741333333333335,1.6,1.0,1604.8,65.2,0.4865333333333334,0.5,0.8,1776.5,39.0,0.8426666666666668,0.6,0.6,1669.1,55.3,0.40126666666666677,2.0,1.0714285714285714,1,FIFA World Cup
32,2026-06-19,United States,Australia,1747.0,1774.0,-27.0,16,26,-10,1645.48,1544.15,2.4,2.2,1872.4,19.0,0.22773333333333357,1.2,1.2,1715.2,43.6,-0.2825333333333334,0.5,0.1,1853.3,20.2,0.1248000000000001,0.6,0.4,1685.3,50.2,0.2899999999999999,1.25,0.75,1,FIFA World Cup
29,2026-06-19,Brazil,Haiti,1979.0,1542.0,437.0,5,86,-81,1775.85,1287.75,2.6,1.2,1837.8,24.0,1.6501333333333335,0.8,1.0,1557.2,76.8,-0.2765333333333333,0.6,1.4,1802.8,34.0,1.639133333333333,0.3,0.1,1543.5,76.4,0.014933333333333309,5.666666666666667,0.3333333333333333,1,FIFA World Cup
30,2026-06-19,Scotland,Morocco,1790.0,1830.0,-40.0,45,14,31,1480.24,1688.18,2.0,1.6,1730.8,42.4,0.3741333333333333,2.2,0.4,1686.8,55.4,1.7909333333333333,0.6,1.1,1631.7,67.2,0.9910666666666668,0.7,1.7,1565.3,67.3,1.6456666666666666,0.0,3.0,1,FIFA World Cup
31,2026-06-19,Türkiye,Paraguay,1880.0,1833.0,47.0,28,53,-25,1537.24,1458.26,2.0,0.6,1725.6,58.0,1.4944000000000002,1.0,1.4,1779.6,22.2,-0.4640000000000001,0.7,0.7,1741.5,47.8,0.4702,0.4,0.0,1829.4,20.6,0.0038000000000000035,0.0,0.0,1,FIFA World Cup
35,2026-06-20,Netherlands,Sweden,1959.0,1660.0,299.0,7,27,-20,1747.55,1540.2,2.4,0.6,1677.2,62.6,1.7757333333333336,1.6,1.8,1720.8,46.8,-0.22973333333333334,0.7,2.4,1540.4,89.7,2.1815333333333333,0.4,-0.2,1722.3,47.5,-0.21206666666666663,1.88,1.92,1,FIFA World Cup
