,0
elo_diff,0.20337221
home_goal_diff_avg_L10,0.11901419
home_goals_conceded_avg_L5,0.10566252
rank_diff,0.07949825
home_weighted_goal_diff_last_10,0.07198887
h2h_avg_goals_away,0.05200431
away_goal_diff_avg_L10,0.04078283
away_goals_scored_avg_L5,0.036012236
neutral,0.03127202
away_team,0.019239035
h2h_avg_goals_home,0.017079325
home_avg_opponent_elo_last_10,0.016290925
home_team,0.015830226
home_win_rate_L10,0.015222377
away_avg_opponent_elo_last_5,0.011992147
away_weighted_goal_diff_last_10,0.011655887
home_avg_opponent_fifa_rank_last_10,0.011284513
away_avg_opponent_elo_last_10,0.010447927
home_avg_opponent_fifa_rank_last_5,0.00978839
home_avg_opponent_elo_last_5,0.00940947
away_fifa_rank,0.009162724
away_win_rate_L10,0.009110472
home_weighted_goal_diff_last_5,0.008978924
home_fifa_rank,0.008977137
away_goals_conceded_avg_L5,0.008743866
home_elo_pre,0.008528635
home_goals_scored_avg_L5,0.007926197
home_fifa_points,0.0077161067
away_weighted_goal_diff_last_5,0.007611213
tournament,0.0074329586
away_avg_opponent_fifa_rank_last_5,0.0073585436
away_fifa_points,0.0072628353
away_elo_pre,0.0070562046
away_avg_opponent_fifa_rank_last_10,0.0062865024
