,H_MAE,H_RMSE,A_MAE,A_RMSE,Winner_Acc,Draw_Acc,Overall_Acc,Exact_Score_Acc,GD_Acc,Top_3_Acc,Avg_Actual_Score_Prob,Outcome_Brier_Score
Random Forest,1.0314897359957567,1.3464944786089204,0.850648011319841,1.1318986898099992,0.6468361276365603,0.3542757417102967,0.5776218001651527,0.10074318744838975,0.24525185796862098,0.36540049545829895,0.07915965855738123,0.16735170125725507
XGBoost,1.0174163618270373,1.3253170390141227,0.8526341301272912,1.13748575003574,0.6138453217955652,0.42757417102966844,0.5697770437654831,0.10198183319570603,0.2481420313790256,0.3592072667217176,0.08106827133213383,0.1675849807163587
LightGBM,1.0191690384853942,1.3296039557419188,0.8517122319431241,1.1315041490074083,0.6208761492698756,0.41012216404886565,0.5710156895127994,0.10363336085879439,0.2477291494632535,0.36044591246903385,0.08098798375573571,0.16766539350751475
